"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C660","2019-08-04 00:00:00","176.000","50.000","2.200","27.900","0.750","983.700","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","25.800",""
"C0R620","2019-08-04 00:00:00","34.000","50.000","1.700","28.100","0.850","999.900","-99.000","2.000","-99.000","-99.000","-99.000","30.900","","25.300",""
"C0F0B0","2019-08-04 00:00:00","311.000","72.000","0.900","25.900","0.950","968.400","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","22.500",""
"C0O970","2019-08-04 00:00:00","71.000","89.000","0.700","25.400","1.000","995.300","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","23.000",""
"C0F9P0","2019-08-04 00:00:00","26.000","56.000","1.300","28.900","0.840","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","26.700",""
"C0R560","2019-08-04 00:00:00","22.000","128.000","0.700","26.700","0.910","1001.100","-99.000","5.000","-99.000","-99.000","-99.000","32.600","","25.000",""
"C0X220","2019-08-04 00:00:00","26.000","299.000","1.200","28.000","0.870","999.800","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","24.600",""
"C0M680","2019-08-04 00:00:00","37.000","213.000","0.600","28.000","0.920","1000.200","-99.000","0.500","-99.000","-99.000","-99.000","32.000","","24.700",""
"C0S710","2019-08-04 00:00:00","382.000","354.000","1.100","23.800","0.890","963.000","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","21.100",""
"C0F9T0","2019-08-04 00:00:00","111.000","313.000","0.500","28.600","0.830","990.400","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.900",""
"C0F9N0","2019-08-04 00:00:00","75.000","113.000","0.700","28.300","0.860","994.400","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","24.900",""
"C0G740","2019-08-04 00:00:00","24.000","0.000","0.000","27.700","0.880","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.500",""
"C0UA70","2019-08-04 00:00:00","547.000","131.000","0.900","23.700","0.990","944.900","-99.000","0.000","-99.000","-99.000","-99.000","30.100","","22.300",""
"C0AC60","2019-08-04 00:00:00","55.000","98.000","1.000","28.800","0.670","997.100","-99.000","0.000","-99.000","-99.000","-99.000","35.900","","24.500",""
"C0R510","2019-08-04 00:00:00","31.000","137.000","0.800","27.400","0.910","1000.000","-99.000","20.500","-99.000","-99.000","-99.000","33.800","","25.100",""
"C0X060","2019-08-04 00:00:00","19.000","148.000","0.900","26.900","0.940","1002.300","-99.000","1.000","-99.000","-99.000","-99.000","32.100","","24.000",""
"C0E550","2019-08-04 00:00:00","84.000","0.000","0.100","25.900","0.990","994.300","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","24.700",""
"C0AI20","2019-08-04 00:00:00","25.000","125.000","2.300","27.600","0.990","1000.700","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","26.300",""
"C0E740","2019-08-04 00:00:00","27.000","216.000","0.700","26.600","0.940","999.100","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","25.200",""
"C0R650","2019-08-04 00:00:00","29.000","0.000","0.100","27.100","0.990","1001.400","-99.000","1.500","-99.000","-99.000","-99.000","33.400","","24.400",""
"C0S750","2019-08-04 00:00:00","2280.000","271.000","1.300","12.200","0.980","770.600","-99.000","0.000","-99.000","-99.000","-99.000","21.400","","10.800",""
"C0I370","2019-08-04 00:00:00","671.000","0.000","0.000","23.100","0.940","931.000","-99.000","0.500","-99.000","-99.000","-99.000","29.300","","20.000",""
"C0K400","2019-08-04 00:00:00","65.000","220.000","1.400","27.700","0.990","996.100","-99.000","1.000","-99.000","-99.000","-99.000","32.800","","23.900",""
"C0A650","2019-08-04 00:00:00","287.000","0.000","0.000","24.000","0.990","972.400","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","21.000",""
"C0U750","2019-08-04 00:00:00","398.000","35.000","2.500","24.300","1.000","960.300","-99.000","0.000","-99.000","-99.000","-99.000","26.800","","23.200",""
"C0M730","2019-08-04 00:00:00","40.000","104.000","0.500","27.300","0.990","997.700","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","24.000",""
"C0Z061","2019-08-04 00:00:00","174.000","124.000","1.500","24.400","0.910","987.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","22.300",""
"C0M670","2019-08-04 00:00:00","43.000","167.000","1.100","27.200","0.920","997.500","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.600",""
"C0I530","2019-08-04 00:00:00","3014.000","23.000","4.200","10.200","0.650","700.000","-99.000","0.000","-99.000","-99.000","-99.000","18.100","","8.100",""
"C0A880","2019-08-04 00:00:00","6.000","0.000","0.000","25.900","0.940","1001.700","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","23.400",""
"C0V670","2019-08-04 00:00:00","20.000","114.000","1.900","28.900","0.810","1000.700","-99.000","1.000","-99.000","-99.000","-99.000","32.300","","26.000",""
"C0A870","2019-08-04 00:00:00","685.000","63.000","5.100","21.500","0.990","927.600","-99.000","0.000","-99.000","-99.000","-99.000","27.000","","20.300",""
"C0R220","2019-08-04 00:00:00","23.000","104.000","1.000","26.600","1.000","1000.700","-99.000","0.500","-99.000","-99.000","-99.000","32.900","","24.500",""
"C0Z220","2019-08-04 00:00:00","589.000","278.000","0.600","23.200","0.920","941.400","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","21.400",""
"C0D560","2019-08-04 00:00:00","147.000","78.000","1.000","27.400","0.750","986.900","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","24.300",""
"C0I380","2019-08-04 00:00:00","258.000","109.000","1.900","25.600","0.980","973.300","-99.000","6.500","-99.000","-99.000","-99.000","33.100","","23.200",""
"C0Z020","2019-08-04 00:00:00","211.000","306.000","2.900","24.900","0.950","980.100","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","21.700",""
"C0Z190","2019-08-04 00:00:00","62.000","312.000","0.400","27.700","0.800","997.200","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","26.500",""
"C0C710","2019-08-04 00:00:00","143.000","197.000","0.700","27.000","0.700","987.000","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","22.600",""
"C0D360","2019-08-04 00:00:00","523.000","0.000","0.000","22.600","0.960","944.700","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","20.400",""
"C0C680","2019-08-04 00:00:00","228.000","139.000","2.600","26.600","0.850","976.700","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.800",""
"C0X140","2019-08-04 00:00:00","17.000","93.000","1.500","28.000","0.920","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.300",""
"C0V710","2019-08-04 00:00:00","34.000","161.000","1.000","-99.000","1.000","999.100","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0G840","2019-08-04 00:00:00","32.000","170.000","0.400","27.500","0.920","996.900","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","24.700",""
"C0S890","2019-08-04 00:00:00","238.000","0.000","0.100","25.400","0.910","980.400","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","22.200",""
"C0T820","2019-08-04 00:00:00","550.000","0.000","0.100","22.600","0.880","948.100","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","18.700",""
"C0F9I0","2019-08-04 00:00:00","194.000","9.000","1.400","27.700","0.840","981.100","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","25.200",""
"C0C650","2019-08-04 00:00:00","208.000","56.000","2.100","26.800","0.750","979.800","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","23.500",""
"C0R600","2019-08-04 00:00:00","766.000","67.000","1.000","24.100","0.820","920.200","-99.000","2.000","-99.000","-99.000","-99.000","26.900","","22.500",""
"C0Z320","2019-08-04 00:00:00","646.000","273.000","0.700","20.400","1.000","934.200","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","18.200",""
"C0V210","2019-08-04 00:00:00","734.000","61.000","1.300","21.600","0.940","924.700","-99.000","0.000","-99.000","-99.000","-99.000","28.900","","18.500",""
"C0K240","2019-08-04 00:00:00","1132.000","103.000","1.400","21.800","0.990","885.000","-99.000","1.000","-99.000","-99.000","-99.000","27.700","","19.500",""
"C0M520","2019-08-04 00:00:00","15.000","181.000","0.700","27.400","0.900","1000.700","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","24.100",""
"C0A530","2019-08-04 00:00:00","300.000","27.000","0.500","23.500","0.990","971.000","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","21.900",""
